GET 304 /api/game/4  127.824 ms - Mon, 08 Feb 2021 17:06:12 GMT
GET 304 /api/game/4  126.638 ms - Mon, 08 Feb 2021 17:07:11 GMT
GET 304 /api/game/4  105.492 ms - Mon, 08 Feb 2021 17:12:13 GMT
GET 304 /api/game/4  114.673 ms - Mon, 08 Feb 2021 17:16:24 GMT
GET 304 /api/game/4  111.101 ms - Mon, 08 Feb 2021 17:18:31 GMT
GET 304 /api/game/4  127.374 ms - Mon, 08 Feb 2021 17:20:20 GMT
GET 304 /api/game/4  114.135 ms - Mon, 08 Feb 2021 17:20:22 GMT
GET 304 /api/game/4  118.480 ms - Mon, 08 Feb 2021 17:20:38 GMT
GET 304 /api/game/4  106.815 ms - Mon, 08 Feb 2021 17:20:40 GMT
GET 304 /api/game/4  185.406 ms - Mon, 08 Feb 2021 17:24:51 GMT
GET 304 /api/game/4  116.842 ms - Mon, 08 Feb 2021 17:25:22 GMT
GET 304 /api/game/4  134.578 ms - Mon, 08 Feb 2021 17:25:29 GMT
GET 304 /api/game/4  142.721 ms - Mon, 08 Feb 2021 17:27:02 GMT
GET 304 /api/game/4  107.175 ms - Mon, 08 Feb 2021 17:27:19 GMT
GET 304 /api/game/4  135.805 ms - Mon, 08 Feb 2021 17:29:52 GMT
GET 304 /api/game/4  102.502 ms - Mon, 08 Feb 2021 17:30:12 GMT
GET 304 /api/game/4  125.128 ms - Mon, 08 Feb 2021 17:32:23 GMT
GET 304 /api/game/4  108.448 ms - Mon, 08 Feb 2021 17:33:29 GMT
GET 304 /api/game/4  99.367 ms - Mon, 08 Feb 2021 17:33:36 GMT
GET 304 /api/game/4  109.313 ms - Mon, 08 Feb 2021 17:33:43 GMT
GET 304 /api/game/4  139.482 ms - Mon, 08 Feb 2021 17:34:58 GMT
GET 200 /api/game/4  203.448 ms - Mon, 08 Feb 2021 19:05:39 GMT
OPTIONS 204 /api/game  0.378 ms - Mon, 08 Feb 2021 19:08:24 GMT
POST 200 /api/game  139.291 ms - Mon, 08 Feb 2021 19:08:24 GMT
GET 304 /api/game/4  146.322 ms - Mon, 08 Feb 2021 19:08:43 GMT
GET 304 /api/game/4  1071.737 ms - Mon, 08 Feb 2021 19:11:20 GMT
GET 304 /api/game/4  267.466 ms - Mon, 08 Feb 2021 19:11:45 GMT
GET 304 /api/game/4  192.799 ms - Mon, 08 Feb 2021 19:12:04 GMT
GET 304 /api/game/4  200.640 ms - Mon, 08 Feb 2021 19:12:33 GMT
GET 304 /api/game/4  166.436 ms - Mon, 08 Feb 2021 19:12:46 GMT
GET 304 /api/game/4  112.559 ms - Mon, 08 Feb 2021 19:13:18 GMT
GET 304 /api/game/4  270.520 ms - Mon, 08 Feb 2021 19:15:18 GMT
GET 304 /api/game/4  928.330 ms - Mon, 08 Feb 2021 19:15:28 GMT
GET 304 /api/game/4  221.903 ms - Mon, 08 Feb 2021 19:15:31 GMT
GET 304 /api/game/4  122.586 ms - Mon, 08 Feb 2021 19:15:52 GMT
GET 304 /api/game/4  270.141 ms - Mon, 08 Feb 2021 19:15:55 GMT
GET 304 /api/game/4  256.525 ms - Mon, 08 Feb 2021 19:16:22 GMT
GET 304 /api/game/4  281.299 ms - Mon, 08 Feb 2021 19:16:24 GMT
GET 304 /api/game/4  2595.527 ms - Mon, 08 Feb 2021 19:16:47 GMT
GET 304 /api/game/4  157.038 ms - Mon, 08 Feb 2021 19:16:59 GMT
GET 304 /api/game/4  270.113 ms - Mon, 08 Feb 2021 19:17:08 GMT
GET 304 /api/game/4  297.077 ms - Mon, 08 Feb 2021 19:17:12 GMT
GET 304 /api/game/4  280.693 ms - Mon, 08 Feb 2021 19:17:20 GMT
GET 304 /api/game/4  281.059 ms - Mon, 08 Feb 2021 19:17:49 GMT
GET 404 /  10.548 ms - Mon, 08 Feb 2021 19:17:56 GMT
GET 404 /favicon.ico  1.811 ms - Mon, 08 Feb 2021 19:17:58 GMT
GET 304 /api/game/4  266.426 ms - Mon, 08 Feb 2021 19:18:48 GMT
GET 304 /api/game/4  190.452 ms - Mon, 08 Feb 2021 19:19:15 GMT
GET 304 /api/game/4  246.576 ms - Mon, 08 Feb 2021 19:19:19 GMT
GET 304 /api/game/4  177.750 ms - Mon, 08 Feb 2021 19:20:10 GMT
GET 304 /api/game/4  286.989 ms - Mon, 08 Feb 2021 19:20:26 GMT
GET 304 /api/game/4  594.857 ms - Mon, 08 Feb 2021 19:21:43 GMT
OPTIONS 204 /api/user/login  0.201 ms - Mon, 08 Feb 2021 19:23:02 GMT
POST - /api/user/login  - ms - Mon, 08 Feb 2021 19:23:02 GMT
OPTIONS 204 /api/login  0.137 ms - Mon, 08 Feb 2021 19:24:41 GMT
POST 200 /api/login  1988.622 ms - Mon, 08 Feb 2021 19:24:43 GMT
GET 304 /api/game/4  246.939 ms - Mon, 08 Feb 2021 19:24:50 GMT
GET 304 /api/game/4  279.125 ms - Mon, 08 Feb 2021 19:25:16 GMT
GET 304 /api/game/4  563.733 ms - Mon, 08 Feb 2021 19:27:02 GMT
GET 304 /api/game/4  508.361 ms - Mon, 08 Feb 2021 19:27:12 GMT
GET 304 /api/game/4  267.651 ms - Mon, 08 Feb 2021 19:27:16 GMT
GET 304 /api/game/4  206.321 ms - Mon, 08 Feb 2021 19:27:22 GMT
GET 304 /api/game/4  308.672 ms - Mon, 08 Feb 2021 19:27:28 GMT
GET 304 /api/game/4  368.104 ms - Mon, 08 Feb 2021 19:27:42 GMT
GET 304 /api/game/4  265.510 ms - Mon, 08 Feb 2021 19:27:55 GMT
GET 304 /api/game/4  1470.278 ms - Mon, 08 Feb 2021 19:28:46 GMT
GET 304 /api/game/4  361.171 ms - Mon, 08 Feb 2021 19:28:53 GMT
GET 304 /api/game/4  3974.560 ms - Mon, 08 Feb 2021 19:29:00 GMT
GET 304 /api/game/4  146.804 ms - Mon, 08 Feb 2021 19:29:17 GMT
GET 304 /api/game/4  638.195 ms - Mon, 08 Feb 2021 19:29:31 GMT
GET 304 /api/game/4  332.258 ms - Mon, 08 Feb 2021 19:29:55 GMT
GET 304 /api/game/4  301.460 ms - Mon, 08 Feb 2021 19:30:03 GMT
GET 304 /api/game/4  1578.228 ms - Mon, 08 Feb 2021 19:30:12 GMT
GET 304 /api/game/4  1209.425 ms - Mon, 08 Feb 2021 19:32:57 GMT
GET 304 /api/game/4  103.438 ms - Mon, 08 Feb 2021 19:33:21 GMT
GET 304 /api/game/4  122.874 ms - Mon, 08 Feb 2021 19:35:21 GMT
GET 304 /api/game/4  734.730 ms - Mon, 08 Feb 2021 19:35:27 GMT
GET 304 /api/game/4  1344.471 ms - Mon, 08 Feb 2021 19:36:23 GMT
GET 304 /api/game/4  255.533 ms - Mon, 08 Feb 2021 19:36:27 GMT
GET 304 /api/game/4  156.327 ms - Mon, 08 Feb 2021 19:36:35 GMT
GET 304 /api/game/4  693.321 ms - Mon, 08 Feb 2021 19:36:51 GMT
GET 304 /api/game/4  111.515 ms - Mon, 08 Feb 2021 19:37:07 GMT
GET 304 /api/game/4  2070.549 ms - Mon, 08 Feb 2021 19:38:13 GMT
GET 304 /api/game/4  222.125 ms - Mon, 08 Feb 2021 19:38:43 GMT
GET 304 /api/game/4  871.460 ms - Mon, 08 Feb 2021 19:39:21 GMT
GET 304 /api/game/4  247.075 ms - Mon, 08 Feb 2021 19:39:24 GMT
GET 304 /api/game/4  118.303 ms - Mon, 08 Feb 2021 19:40:05 GMT
GET 304 /api/game/4  427.725 ms - Mon, 08 Feb 2021 19:40:08 GMT
GET 304 /api/game/4  1073.763 ms - Mon, 08 Feb 2021 19:40:20 GMT
GET 304 /api/game/4  154.924 ms - Mon, 08 Feb 2021 19:40:29 GMT
GET 304 /api/game/4  173.645 ms - Mon, 08 Feb 2021 19:45:02 GMT
GET 304 /api/game/4  346.151 ms - Mon, 08 Feb 2021 19:45:07 GMT
GET 304 /api/game/4  705.516 ms - Mon, 08 Feb 2021 19:50:08 GMT
GET 304 /api/game/4  304.333 ms - Mon, 08 Feb 2021 19:50:20 GMT
GET 304 /api/game/4  731.111 ms - Mon, 08 Feb 2021 19:50:26 GMT
GET 200 /api/game/5  205.005 ms - Mon, 08 Feb 2021 19:50:45 GMT
GET 304 /api/game/5  311.489 ms - Mon, 08 Feb 2021 19:50:48 GMT
GET 200 /api/game/2  1092.956 ms - Mon, 08 Feb 2021 19:51:22 GMT
GET 304 /api/game/2  850.946 ms - Mon, 08 Feb 2021 19:51:24 GMT
